Name,Description,Category,Parent,Content Type ID,Column Name,Column Type,Column Required
Announcement,"Create a new news item, status or other short piece of information.",List Content Types,Item,0x0104,Body,Multiple lines of text,False
,,,,,Expires,Date and Time,False
,,,,,Title,Single line of text,True
Audio,Upload an audio file.,Digital Asset Content Types,Rich Media Asset,0x0101009148F5A04DDD49CBA7127AADA5FB792B006973ACD696DC4858A76371B2FB2F439A,Author,Single line of text,False
,,,,,Comments,Multiple lines of text,False
,,,,,Copyright,Single line of text,False
,,,,,Document Created By,Single line of text,False
,,,,,Document Modified By,Single line of text,False
,,,,,Keywords,Multiple lines of text,False
,,,,,Length (seconds),Integer,False
,,,,,Name,File,True
,,,,,Picture Width,Integer,False
,,,,,Preview Image URL,Hyperlink or Picture,False
,,,,,Title,Single line of text,False
Basic Page,Create a new basic page.,Document Content Types,Document,0x010109,Document Created By,Single line of text,False
,,,,,Document Modified By,Single line of text,False
,,,,,Name,File,True
,,,,,Title,Single line of text,False
Category,(Category Content Type Description),Community Content Types,Item,0x010019ACC57FBA4146AFA4C822E719824BED,Category Picture,Hyperlink or Picture,False
,,,,,Description,Single line of text,False
,,,,,Discussions,Integer,False
,,,,,Last Post By,Person or Group,False
,,,,,Last Post Date,Date and Time,False
,,,,,Replies,Integer,False
,,,,,Title,Single line of text,True
Circulation,Add a new Circulation.,Group Work Content Types,Item,0x01000F389E14C9CE4CE486270B9D4713A5D6,Allow Editing,Yes/No,False
,,,,,Append-Only Comments,Multiple lines of text,False
,,,,,Body,Multiple lines of text,False
,,,,,Confidential,Yes/No,False
,,,,,Confirmations,Single line of text,False
,,,,,Due Date,Date and Time,False
,,,,,Notification,Yes/No,False
,,,,,Recipients,Person or Group,True
,,,,,Title,Single line of text,True
Comment,Create a new blog comment.,List Content Types,Item,0x0111,Body,Multiple lines of text,False
,,,,,Title,Single line of text,False
Community Member,Add a new community member,Community Content Types,Site Membership,0x010027FC2137D8DE4B00A40E14346D070D5201,Best Replies,Number,False
,,,,,Discussions,Number,False
,,,,,Last Activity,Date and Time,False
,,,,,Member,Person or Group,True
,,,,,Member Status,Integer,False
,,,,,Replies,Number,False
,,,,,Replies to reach next level,Number,False
,,,,,Reputation Score,Number,False
